admin_unit;events;flood_start;flood_end;duration;peak_streamflow
ML0204;7;2022-09-16;2022-09-21;6;4266.8642578125
ML0204;8;2022-09-23;2022-10-08;16;4283.60107421875
ML0206;1;2019-09-09;2019-10-02;24;4567.50244140625
ML0206;2;2019-10-10;2019-10-12;3;3641.99609375
ML0301;6;2022-09-08;2022-09-09;2;757.1685791015625
ML0301;7;2022-09-13;2022-09-18;6;762.64697265625
ML0301;8;2022-09-20;2022-09-21;2;670.5615234375
ML0305;0;2018-08-26;2018-09-29;35;1104.3914794921875
ML0305;1;2019-09-04;2019-09-05;2;689.8140258789062
ML0305;2;2019-09-18;2019-09-23;6;795.358642578125
ML0401;4;2022-09-27;2022-09-28;2;4092.248779296875
ML0401;5;2022-09-30;2022-10-08;9;4088.94384765625
ML0406;5;2022-09-28;2022-10-08;11;3937.196533203125
