identifier;events;flood_start;flood_end;duration;peak_streamflow
Bafing Makana;0;2018-08-29;2018-09-19;22;1202.08203125
Bamako;0;2018-08-31;2018-10-13;44;4635.30126953125
Banankoro;0;2018-08-31;2018-10-14;45;3432.48046875
Bougouni;0;2016-08-30;2016-10-01;33;411.636962890625
Bougouni;1;2018-08-20;2018-10-14;56;673.6932373046875
Douna;0;2016-08-24;2016-10-09;47;1198.7601318359375
Douna;1;2018-08-25;2018-10-24;61;1964.0784912109375
Kayes;0;2016-08-16;2016-10-01;47;415.45904541015625
Kayes;1;2018-08-26;2018-10-20;56;633.4027099609375
Koulikoro;0;2018-09-01;2018-10-14;44;4680.50244140625
Mopti;0;2018-09-06;2018-10-25;50;2340.953857421875
Pankourou;0;2016-08-29;2016-10-04;37;586.1380004882812
Pankourou;1;2018-08-20;2018-10-16;58;1029.5843505859375
Sofara;0;2016-08-28;2016-10-12;46;988.6710205078125
Sofara;1;2018-08-25;2018-11-01;69;1317.477783203125
