,identifier,TP,FP,FN,POD,FAR,precision,f1
0,Ansongo,0,5,0,,1.0,0.0,
1,Bafing Makana,0,4,5,0.0,1.0,0.0,
2,Bamako,1,4,1,0.5,0.8,0.2,0.286
3,Banankoro,1,4,2,0.333,0.8,0.2,0.25
4,Bougouni,3,5,2,0.6,0.625,0.375,0.462
5,Dire,0,4,0,,1.0,0.0,
6,Douna,1,4,2,0.333,0.8,0.2,0.25
7,Gao,0,4,0,,1.0,0.0,
8,Kayes,1,2,3,0.25,0.667,0.333,0.286
9,Koulikoro,1,4,1,0.5,0.8,0.2,0.286
10,Mopti,1,4,1,0.5,0.8,0.2,0.286
11,Pankourou,1,5,3,0.25,0.833,0.167,0.2
12,Sofara,1,3,2,0.333,0.75,0.25,0.286
13,total,11,52,22,0.333,0.825,0.175,0.229
