,admin_unit,TP,FP,FN,POD,FAR,precision,recall,f1,admin_unit_NAME
26,ML0101,0,0,1,0.0,0.0,0.0,0.0,0.0,BAFOULABE
9,ML0103,0,2,3,0.0,1.0,0.0,0.0,0.0,SANDIA
17,ML0105,0,1,1,0.0,1.0,0.0,0.0,0.0,KITA
2,ML0107,0,0,2,0.0,0.0,0.0,0.0,0.0,YELIMANE
32,ML0202,1,0,5,0.167,0.0,1.0,0.167,0.286,DIOILA
19,ML0203,0,1,1,0.0,1.0,0.0,0.0,0.0,KENEKOUN
29,ML0204,0,1,2,0.0,1.0,0.0,0.0,0.0,KATI
30,ML0205,0,1,1,0.0,1.0,0.0,0.0,0.0,KOLOKANI
28,ML0206,0,1,5,0.0,1.0,0.0,0.0,0.0,TOUBAKORO
20,ML0207,2,0,4,0.333,0.0,1.0,0.333,0.5,NARA
22,ML0301,0,1,2,0.0,1.0,0.0,0.0,0.0,BOUGOUNI
16,ML0302,0,2,2,0.0,1.0,0.0,0.0,0.0,ZEGOUA
10,ML0304,0,1,1,0.0,1.0,0.0,0.0,0.0,KOUTIALA
6,ML0305,2,2,7,0.222,0.5,0.5,0.222,0.308,BIRAMABOUGOU
11,ML0401,1,0,0,1.0,0.0,1.0,1.0,1.0,BARAOUELI
4,ML0402,1,2,4,0.2,0.667,0.333,0.2,0.25,BLA
1,ML0404,0,1,1,0.0,1.0,0.0,0.0,0.0,NIONO
18,ML0405,2,0,1,0.667,0.0,1.0,0.667,0.8,SAN
3,ML0406,2,0,11,0.154,0.0,1.0,0.154,0.267,SEGOU
13,ML0503,2,0,0,1.0,0.0,1.0,1.0,1.0,DJENNE
31,ML0504,2,3,1,0.667,0.6,0.4,0.667,0.5,DOUENTZA
14,ML0505,1,2,2,0.333,0.667,0.333,0.333,0.333,KORO
12,ML0506,0,1,6,0.0,1.0,0.0,0.0,0.0,MOPTI
15,ML0601,0,2,2,0.0,1.0,0.0,0.0,0.0,DIRE
23,ML0602,0,1,1,0.0,1.0,0.0,0.0,0.0,GOUNDAM
24,ML0603,0,1,2,0.0,1.0,0.0,0.0,0.0,GOURMA-RHAROUS
21,ML0604,0,3,3,0.0,1.0,0.0,0.0,0.0,NIAFUNKE
5,ML0605,0,3,4,0.0,1.0,0.0,0.0,0.0,TOMBOUCTOU
27,ML0701,0,1,1,0.0,1.0,0.0,0.0,0.0,ANSONGO
7,ML0702,0,2,3,0.0,1.0,0.0,0.0,0.0,BOUREM
8,ML0703,0,3,5,0.0,1.0,0.0,0.0,0.0,TAMKOUTAT
25,ML0901,1,2,9,0.1,0.667,0.333,0.1,0.154,BAMAKO
0,total,17,40,93,0.155,0.702,0.298,0.155,0.204,
