,admin_unit,TP,FP,FN,POD,FAR,precision,recall,f1,admin_unit_NAME
0,total,9,24,101,0.082,0.727,0.273,0.082,0.126,
1,ML0504,2,1,1,0.667,0.333,0.667,0.667,0.667,DOUENTZA
2,ML0605,0,0,4,0.0,0.0,0.0,0.0,0.0,TOMBOUCTOU
3,ML0107,0,0,2,0.0,0.0,0.0,0.0,0.0,YELIMANE
4,ML0701,0,1,1,0.0,1.0,0.0,0.0,0.0,ANSONGO
5,ML0402,1,0,4,0.2,0.0,1.0,0.2,0.333,BLA
6,ML0103,0,1,3,0.0,1.0,0.0,0.0,0.0,SANDIA
7,ML0901,1,2,9,0.1,0.667,0.333,0.1,0.154,BAMAKO
8,ML0105,0,1,1,0.0,1.0,0.0,0.0,0.0,KITA
9,ML0603,0,0,2,0.0,0.0,0.0,0.0,0.0,GOURMA-RHAROUS
10,ML0505,1,1,2,0.333,0.5,0.5,0.333,0.4,KORO
11,ML0204,0,1,2,0.0,1.0,0.0,0.0,0.0,KATI
12,ML0202,0,1,6,0.0,1.0,0.0,0.0,0.0,DIOILA
13,ML0506,0,1,6,0.0,1.0,0.0,0.0,0.0,MOPTI
14,ML0702,0,1,3,0.0,1.0,0.0,0.0,0.0,BOUREM
15,ML0405,0,1,3,0.0,1.0,0.0,0.0,0.0,SAN
16,ML0406,0,1,13,0.0,1.0,0.0,0.0,0.0,SEGOU
17,ML0503,1,0,1,0.5,0.0,1.0,0.5,0.667,DJENNE
18,ML0203,0,1,1,0.0,1.0,0.0,0.0,0.0,KENEKOUN
19,ML0101,0,0,1,0.0,0.0,0.0,0.0,0.0,BAFOULABE
20,ML0205,0,1,1,0.0,1.0,0.0,0.0,0.0,KOLOKANI
21,ML0207,2,1,4,0.333,0.333,0.667,0.333,0.444,NARA
22,ML0601,0,0,2,0.0,0.0,0.0,0.0,0.0,DIRE
23,ML0602,0,0,1,0.0,0.0,0.0,0.0,0.0,GOUNDAM
24,ML0206,0,1,5,0.0,1.0,0.0,0.0,0.0,TOUBAKORO
25,ML0604,0,1,3,0.0,1.0,0.0,0.0,0.0,NIAFUNKE
26,ML0301,0,1,2,0.0,1.0,0.0,0.0,0.0,BOUGOUNI
27,ML0302,0,1,2,0.0,1.0,0.0,0.0,0.0,ZEGOUA
28,ML0305,1,1,8,0.111,0.5,0.5,0.111,0.182,BIRAMABOUGOU
29,ML0703,0,0,5,0.0,0.0,0.0,0.0,0.0,TAMKOUTAT
30,ML0401,0,1,1,0.0,1.0,0.0,0.0,0.0,BARAOUELI
31,ML0404,0,1,1,0.0,1.0,0.0,0.0,0.0,NIONO
32,ML0304,0,1,1,0.0,1.0,0.0,0.0,0.0,KOUTIALA
